id, time, nodeaddr, appeui, gwaddr, modulation, datarate, snr, rssi, freq, fcount, lat, lon, alt, accuracy, hdop, sats, provider, user_agent
253974569, 2020-12-26 17:19:25, wisblockmapper, wisblock_mapper, ttn-gateway-utad-arroios-02, LORA, SF7BW125, 7.00, -108.00, 868.300, null, 41.288044, -7.702947, 599.0, 4.00, null, null, gps, null
253974464, 2020-12-26 17:19:05, wisblockmapper, wisblock_mapper, ttn-gateway-utad-arroios-02, LORA, SF7BW125, -8.00, -115.00, 867.300, null, 41.286092, -7.702488, 609.0, 3.00, null, null, gps, null
253968164, 2020-12-26 16:59:05, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, -6.00, -121.00, 868.100, null, 41.222223, -7.634886, 666.0, 2.50, null, null, gps, null
253967299, 2020-12-26 16:56:25, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, -3.30, -115.00, 867.900, null, 41.220235, -7.624730, 616.0, 2.50, null, null, gps, null
253967209, 2020-12-26 16:56:05, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 5.30, -115.00, 867.900, null, 41.219324, -7.623323, 609.0, 3.50, null, null, gps, null
253967083, 2020-12-26 16:55:45, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 4.30, -111.00, 868.500, null, 41.217973, -7.623484, 605.0, 3.00, null, null, gps, null
253966890, 2020-12-26 16:55:05, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 6.30, -103.00, 867.100, null, 41.216896, -7.620356, 591.0, 2.00, null, null, gps, null
253966766, 2020-12-26 16:54:45, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 5.80, -103.00, 868.500, null, 41.215587, -7.619420, 587.0, 2.50, null, null, gps, null
253965446, 2020-12-26 16:50:45, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 5.30, -107.00, 867.900, null, 41.206955, -7.627631, 506.0, 2.50, null, null, gps, null
253961089, 2020-12-26 16:37:25, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 9.00, -95.00, 867.900, null, 41.179114, -7.641550, 343.0, 1.50, null, null, gps, null
253960944, 2020-12-26 16:37:05, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 9.50, -91.00, 868.300, null, 41.178169, -7.640975, 343.0, 2.50, null, null, gps, null
253959153, 2020-12-26 16:31:45, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 9.00, -87.00, 868.300, null, 41.163794, -7.640734, 289.0, 2.50, null, null, gps, null
253958516, 2020-12-26 16:29:45, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 7.00, -107.00, 868.100, null, 41.164528, -7.634232, 255.0, 2.00, null, null, gps, null
253958416, 2020-12-26 16:29:25, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 0.00, -107.00, 867.700, null, 41.163453, -7.633002, 250.0, 2.00, null, null, gps, null
253956333, 2020-12-26 16:23:05, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 4.30, -109.00, 867.100, null, 41.162547, -7.623657, 187.0, 2.50, null, null, gps, null
253955546, 2020-12-26 16:20:45, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, -4.30, -119.00, 868.100, null, 41.162296, -7.611863, 151.0, 2.00, null, null, gps, null
253955439, 2020-12-26 16:20:25, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 4.80, -106.00, 867.300, null, 41.161935, -7.609945, 160.0, 2.00, null, null, gps, null
253955333, 2020-12-26 16:20:05, wisblockmapper, wisblock_mapper, AC1F09FFFE01457C, LORA, SF7BW125, -6.00, -119.00, 868.500, null, 41.162312, -7.608899, 165.0, 2.00, null, null, gps, null
253955206, 2020-12-26 16:19:45, wisblockmapper, wisblock_mapper, AC1F09FFFE014580, LORA, SF7BW125, 6.50, -103.00, 867.500, null, 41.161932, -7.607642, 176.0, 2.50, null, null, gps, null
